Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Julia,17,Female,Diploma,Sedentary,"Organized, Creative, Practical",Design,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Healthcare,Graphic Design,Teamwork,On-site,1,3,Yes,Outdoor,Yes,Teacher,BEd,IBA Karachi,
Ethan,19,Other,Matric,Sedentary,"Organized, Empathetic, Curious",Writing,Mathematics,Business  ,Journalism  ,Non-profit Work,Project Management,Communication,Remote,3,1,Yes,No preference,Yes,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Charlie,18,Male,FSc,Active,"Patient, Organized, Curious",Photography,Physics,Team Leadership  ,Public Relations  ,Counseling,Writing,Communication,Hybrid,3,2,Yes,Outdoor,Yes,Software Engineer,BSc Computer Science,GIKI,
Charlie,20,Female,Undergraduate,Sedentary,"Assertive, Adventurous, Creative",Design,Data Analysis,Organizational Strategy  ,Social Media Management  ,Education,Data Analysis,Leadership,On-site,2,5,No,No preference,No,Graphic Designer,BA Graphic Design,LUMS,
Julia,17,Other,Diploma,Active,"Creative, Adventurous, Practical",Photography,Mathematics,Finance  ,Broadcasting  ,Social Work,Programming,Leadership,On-site,5,5,Yes,Outdoor,Yes,Psychologist,BSc Psychology,IBA Karachi,
George,17,Female,Diploma,Moderately Active,"Organized, Practical, Analytical",Design,Programming,Marketing and Branding  ,Digital Content Creation  ,Social Work,Writing,Adaptability,Remote,1,3,Yes,Outdoor,No,Nurse,BSc Nursing,NUST,
Ivan,19,Female,Matric,Moderately Active,"Creative, Analytical, Practical",Writing,Physics,Business  ,Journalism  ,Healthcare,Project Management,Communication,Hybrid,3,3,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Ethan,21,Female,Matric,Active,"Patient, Empathetic, Organized",Photography,Physics,Team Leadership  ,Public Relations  ,Non-profit Work,Writing,Problem-Solving,Hybrid,1,5,Yes,Outdoor,No,Mechanical Engineer,BEng Mechanical,LUMS,
Bob,20,Other,Matric,Sedentary,"Patient, Detail-Oriented, Assertive",Design,Engineering,Organizational Strategy  ,Social Media Management  ,Social Work,Writing,Teamwork,On-site,4,3,Yes,No preference,No,Photographer,Diploma Photography,QAU Islamabad,
Diana,22,Male,FSc,Moderately Active,"Adventurous, Detail-Oriented, Assertive",Photography,Physics,Finance  ,Broadcasting  ,Healthcare,Programming,Teamwork,On-site,1,2,No,Indoor,Yes,Psychologist,BSc Psychology,University of the Punjab,
Fiona,20,Female,FSc,Moderately Active,"Adventurous, Practical, Creative",Design,Engineering,Marketing and Branding  ,Digital Content Creation  ,Counseling,Data Analysis,Communication,Hybrid,5,5,Yes,No preference,No,Photographer,Diploma Photography,University of the Punjab,
George,21,Female,Diploma,Sedentary,"Practical, Empathetic, Curious",Music,Programming,Business  ,Journalism  ,Healthcare,Writing,Teamwork,On-site,4,3,No,Indoor,No,Software Engineer,BSc Computer Science,QAU Islamabad,
Charlie,16,Male,Undergraduate,Active,"Empathetic, Assertive, Curious",Writing,Programming,Team Leadership  ,Public Relations  ,Counseling,Data Analysis,Problem-Solving,Hybrid,2,5,No,No preference,Yes,Teacher,BEd,UET Lahore,
George,22,Female,Matric,Active,"Practical, Adventurous, Empathetic",Design,Engineering,Organizational Strategy  ,Social Media Management  ,Education,Programming,Problem-Solving,Remote,3,3,Yes,Outdoor,No,Nurse,BSc Nursing,LUMS,
Bob,21,Male,Diploma,Moderately Active,"Adventurous, Empathetic, Creative",Writing,Engineering,Finance  ,Broadcasting  ,Non-profit Work,Project Management,Leadership,Hybrid,5,2,Yes,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Ivan,16,Male,FSc,Sedentary,"Assertive, Analytical, Practical",Photography,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Social Work,Project Management,Teamwork,On-site,4,4,No,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,GIKI,
Diana,16,Other,Undergraduate,Moderately Active,"Curious, Organized, Creative",Writing,Programming,Business  ,Journalism  ,Counseling,Data Analysis,Teamwork,Hybrid,3,5,No,No preference,No,Software Engineer,BSc Computer Science,QAU Islamabad,
Ivan,19,Other,Undergraduate,Moderately Active,"Organized, Patient, Analytical",Design,Mathematics,Team Leadership  ,Public Relations  ,Healthcare,Graphic Design,Teamwork,Remote,5,3,No,Outdoor,Yes,Teacher,BEd,University of the Punjab,
Diana,22,Other,Matric,Moderately Active,"Curious, Assertive, Detail-Oriented",Design,Programming,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Writing,Communication,On-site,4,4,Yes,Indoor,Yes,Data Scientist,BSc Data Science,University of the Punjab,
Bob,21,Male,Undergraduate,Moderately Active,"Adventurous, Organized, Patient",Music,Physics,Finance  ,Broadcasting  ,Healthcare,Project Management,Teamwork,On-site,4,5,No,Outdoor,No,Journalist,BA Journalism,UET Lahore,
George,16,Female,FSc,Active,"Assertive, Analytical, Patient",Photography,Programming,Marketing and Branding  ,Digital Content Creation  ,Counseling,Writing,Communication,Hybrid,3,4,Yes,Outdoor,Yes,Social Worker,BA Social Work,NUST,
Alice,18,Female,Undergraduate,Active,"Adventurous, Curious, Empathetic",Writing,Physics,Business  ,Journalism  ,Healthcare,Writing,Adaptability,Remote,3,2,No,No preference,Yes,Journalist,BA Journalism,Aga Khan University,
Alice,20,Male,FSc,Moderately Active,"Analytical, Empathetic, Creative",Photography,Programming,Team Leadership  ,Public Relations  ,Education,Data Analysis,Communication,Remote,5,1,No,Outdoor,No,Software Engineer,BSc Computer Science,University of the Punjab,
Hannah,16,Other,Diploma,Moderately Active,"Creative, Adventurous, Patient",Music,Data Analysis,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Programming,Communication,Hybrid,2,5,No,No preference,Yes,Journalist,BA Journalism,COMSATS,
Bob,21,Other,Undergraduate,Active,"Assertive, Creative, Detail-Oriented",Writing,Data Analysis,Finance  ,Broadcasting  ,Non-profit Work,Data Analysis,Problem-Solving,Remote,1,3,No,Indoor,No,Software Engineer,BSc Computer Science,COMSATS,
George,21,Male,Undergraduate,Sedentary,"Detail-Oriented, Creative, Curious",Music,Programming,Marketing and Branding  ,Digital Content Creation  ,Healthcare,Project Management,Communication,Remote,5,3,No,No preference,Yes,Teacher,BEd,FAST-NUCES,
George,20,Other,Matric,Sedentary,"Practical, Patient, Analytical",Writing,Engineering,Business  ,Journalism  ,Non-profit Work,Data Analysis,Teamwork,Remote,4,2,No,Indoor,Yes,Graphic Designer,BA Graphic Design,FAST-NUCES,
Bob,22,Female,Matric,Sedentary,"Analytical, Curious, Adventurous",Photography,Data Analysis,Team Leadership  ,Public Relations  ,Counseling,Graphic Design,Teamwork,Hybrid,2,1,Yes,Indoor,No,Software Engineer,BSc Computer Science,GIKI,
Ivan,20,Female,FSc,Moderately Active,"Adventurous, Practical, Detail-Oriented",Photography,Physics,Organizational Strategy  ,Social Media Management  ,Social Work,Data Analysis,Problem-Solving,Remote,5,3,Yes,No preference,No,Data Scientist,BSc Data Science,IBA Karachi,
Alice,22,Male,Undergraduate,Sedentary,"Creative, Practical, Organized",Design,Data Analysis,Finance  ,Broadcasting  ,Counseling,Programming,Problem-Solving,Remote,5,2,No,Outdoor,No,Software Engineer,BSc Computer Science,UET Lahore,
Ethan,19,Female,Matric,Active,"Adventurous, Empathetic, Practical",Design,Engineering,Marketing and Branding  ,Digital Content Creation  ,Counseling,Graphic Design,Problem-Solving,Remote,4,5,No,No preference,No,Psychologist,BSc Psychology,NUST,
Fiona,18,Female,Diploma,Active,"Organized, Detail-Oriented, Adventurous",Photography,Engineering,Business  ,Journalism  ,Counseling,Project Management,Adaptability,Hybrid,3,5,Yes,No preference,No,Psychologist,BSc Psychology,University of the Punjab,
Ivan,19,Other,Matric,Moderately Active,"Detail-Oriented, Creative, Empathetic",Writing,Mathematics,Team Leadership  ,Public Relations  ,Education,Writing,Teamwork,Remote,4,5,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,LUMS,
Alice,22,Female,FSc,Sedentary,"Adventurous, Empathetic, Patient",Photography,Programming,Organizational Strategy  ,Social Media Management  ,Social Work,Writing,Leadership,Hybrid,4,5,No,Indoor,No,Nurse,BSc Nursing,GIKI,
Ethan,17,Female,Matric,Sedentary,"Adventurous, Creative, Detail-Oriented",Music,Programming,Finance  ,Broadcasting  ,Social Work,Programming,Adaptability,Remote,5,5,No,Indoor,Yes,Journalist,BA Journalism,IBA Karachi,
Diana,21,Male,Diploma,Active,"Analytical, Empathetic, Patient",Photography,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Education,Data Analysis,Leadership,Hybrid,1,2,No,Outdoor,Yes,Teacher,BEd,IBA Karachi,
Bob,19,Other,Diploma,Moderately Active,"Creative, Empathetic, Curious",Design,Physics,Business  ,Journalism  ,Non-profit Work,Data Analysis,Leadership,On-site,5,1,No,No preference,No,Software Engineer,BSc Computer Science,LUMS,
Bob,20,Male,Diploma,Sedentary,"Adventurous, Creative, Empathetic",Writing,Engineering,Team Leadership  ,Public Relations  ,Healthcare,Project Management,Leadership,On-site,1,5,Yes,No preference,Yes,Nurse,BSc Nursing,Aga Khan University,
Charlie,16,Male,FSc,Moderately Active,"Assertive, Adventurous, Empathetic",Photography,Engineering,Organizational Strategy  ,Social Media Management  ,Education,Writing,Teamwork,Remote,5,4,No,No preference,No,Nurse,BSc Nursing,FAST-NUCES,
Ethan,19,Other,Diploma,Active,"Curious, Analytical, Patient",Design,Programming,Finance  ,Broadcasting  ,Education,Writing,Communication,Remote,3,2,Yes,Outdoor,Yes,Psychologist,BSc Psychology,Aga Khan University,
Ivan,17,Female,Undergraduate,Sedentary,"Empathetic, Curious, Organized",Music,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Programming,Leadership,Remote,1,1,Yes,No preference,Yes,Software Engineer,BSc Computer Science,FAST-NUCES,
Alice,18,Female,FSc,Moderately Active,"Empathetic, Organized, Adventurous",Writing,Programming,Business  ,Journalism  ,Counseling,Data Analysis,Adaptability,Hybrid,5,1,No,Outdoor,No,Psychologist,BSc Psychology,Aga Khan University,
Charlie,19,Male,Undergraduate,Moderately Active,"Empathetic, Practical, Analytical",Writing,Mathematics,Team Leadership  ,Public Relations  ,Social Work,Data Analysis,Adaptability,Hybrid,5,1,No,Outdoor,No,Teacher,BEd,QAU Islamabad,
Diana,18,Other,Diploma,Active,"Practical, Patient, Detail-Oriented",Writing,Engineering,Organizational Strategy  ,Social Media Management  ,Education,Project Management,Communication,On-site,3,5,No,Outdoor,No,Nurse,BSc Nursing,LUMS,
Diana,18,Male,FSc,Sedentary,"Patient, Adventurous, Curious",Photography,Engineering,Finance  ,Broadcasting  ,Counseling,Programming,Communication,On-site,5,5,No,Outdoor,Yes,Nurse,BSc Nursing,University of the Punjab,
Charlie,20,Female,Undergraduate,Sedentary,"Assertive, Analytical, Empathetic",Music,Programming,Marketing and Branding  ,Digital Content Creation  ,Counseling,Writing,Communication,On-site,1,3,Yes,Outdoor,No,Data Scientist,BSc Data Science,IBA Karachi,
Fiona,20,Female,Diploma,Sedentary,"Creative, Practical, Assertive",Photography,Data Analysis,Business  ,Journalism  ,Healthcare,Writing,Teamwork,On-site,2,1,Yes,Indoor,Yes,Psychologist,BSc Psychology,Aga Khan University,
Diana,18,Female,Matric,Sedentary,"Detail-Oriented, Organized, Creative",Writing,Engineering,Team Leadership  ,Public Relations  ,Social Work,Programming,Adaptability,On-site,3,1,Yes,Indoor,No,Mechanical Engineer,BEng Mechanical,NUST,
Hannah,17,Other,Matric,Active,"Adventurous, Practical, Assertive",Music,Engineering,Organizational Strategy  ,Social Media Management  ,Healthcare,Data Analysis,Communication,On-site,3,4,Yes,No preference,No,Teacher,BEd,UET Lahore,
Diana,16,Other,Undergraduate,Moderately Active,"Empathetic, Adventurous, Creative",Photography,Engineering,Finance  ,Broadcasting  ,Non-profit Work,Project Management,Communication,On-site,2,5,No,No preference,Yes,Photographer,Diploma Photography,GIKI,
Julia,16,Female,FSc,Moderately Active,"Assertive, Adventurous, Empathetic",Writing,Engineering,Marketing and Branding  ,Digital Content Creation  ,Counseling,Project Management,Adaptability,On-site,4,3,No,Outdoor,No,Graphic Designer,BA Graphic Design,FAST-NUCES,
Fiona,17,Male,Diploma,Sedentary,"Patient, Creative, Analytical",Writing,Programming,Business  ,Journalism  ,Social Work,Writing,Adaptability,Hybrid,5,5,Yes,No preference,Yes,Photographer,Diploma Photography,GIKI,
Bob,21,Male,Diploma,Moderately Active,"Curious, Analytical, Detail-Oriented",Music,Engineering,Team Leadership  ,Public Relations  ,Social Work,Programming,Communication,Remote,3,1,No,Outdoor,No,Journalist,BA Journalism,Aga Khan University,
Bob,21,Other,Diploma,Moderately Active,"Organized, Detail-Oriented, Curious",Music,Programming,Organizational Strategy  ,Social Media Management  ,Education,Data Analysis,Teamwork,On-site,2,5,Yes,Indoor,Yes,Software Engineer,BSc Computer Science,LUMS,
Ivan,18,Male,Matric,Moderately Active,"Analytical, Creative, Practical",Writing,Mathematics,Finance  ,Broadcasting  ,Healthcare,Graphic Design,Adaptability,On-site,1,5,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,COMSATS,
Julia,21,Female,FSc,Sedentary,"Adventurous, Empathetic, Practical",Music,Physics,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Data Analysis,Adaptability,Remote,3,4,No,Indoor,Yes,Nurse,BSc Nursing,FAST-NUCES,
Bob,17,Other,Diploma,Moderately Active,"Analytical, Adventurous, Assertive",Music,Data Analysis,Business  ,Journalism  ,Healthcare,Programming,Adaptability,Remote,3,3,No,Outdoor,No,Psychologist,BSc Psychology,Aga Khan University,
Fiona,17,Male,Diploma,Sedentary,"Curious, Organized, Detail-Oriented",Music,Engineering,Team Leadership  ,Public Relations  ,Non-profit Work,Graphic Design,Communication,Hybrid,1,1,No,Outdoor,No,Teacher,BEd,GIKI,
Bob,21,Other,Undergraduate,Active,"Adventurous, Creative, Assertive",Photography,Data Analysis,Organizational Strategy  ,Social Media Management  ,Counseling,Writing,Adaptability,On-site,5,2,Yes,Outdoor,No,Data Scientist,BSc Data Science,GIKI,
Bob,16,Female,Diploma,Sedentary,"Assertive, Creative, Analytical",Design,Programming,Finance  ,Broadcasting  ,Education,Project Management,Communication,Hybrid,4,4,No,No preference,No,Software Engineer,BSc Computer Science,UET Lahore,
Ethan,20,Other,Undergraduate,Sedentary,"Detail-Oriented, Creative, Practical",Writing,Engineering,Marketing and Branding  ,Digital Content Creation  ,Healthcare,Project Management,Teamwork,On-site,3,2,No,Indoor,No,Software Engineer,BSc Computer Science,QAU Islamabad,
Bob,19,Other,FSc,Sedentary,"Empathetic, Patient, Organized",Writing,Mathematics,Business  ,Journalism  ,Healthcare,Programming,Adaptability,Hybrid,2,1,No,Indoor,Yes,Psychologist,BSc Psychology,Aga Khan University,
Ethan,16,Female,Diploma,Moderately Active,"Organized, Analytical, Adventurous",Writing,Engineering,Team Leadership  ,Public Relations  ,Healthcare,Data Analysis,Adaptability,Remote,5,3,No,Indoor,Yes,Psychologist,BSc Psychology,IBA Karachi,
Diana,21,Other,Diploma,Active,"Practical, Curious, Creative",Music,Engineering,Organizational Strategy  ,Social Media Management  ,Healthcare,Programming,Leadership,On-site,1,3,No,Outdoor,Yes,Teacher,BEd,QAU Islamabad,
Fiona,21,Other,Undergraduate,Sedentary,"Patient, Analytical, Detail-Oriented",Design,Engineering,Finance  ,Broadcasting  ,Healthcare,Data Analysis,Adaptability,Hybrid,2,2,No,Indoor,No,Psychologist,BSc Psychology,NUST,
Fiona,17,Other,FSc,Active,"Analytical, Assertive, Practical",Music,Physics,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Communication,Remote,2,4,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,NUST,
Fiona,16,Other,Matric,Active,"Organized, Assertive, Detail-Oriented",Photography,Programming,Business  ,Journalism  ,Non-profit Work,Project Management,Leadership,Remote,1,1,No,No preference,Yes,Psychologist,BSc Psychology,University of the Punjab,
Alice,16,Female,Undergraduate,Active,"Curious, Practical, Detail-Oriented",Photography,Programming,Team Leadership  ,Public Relations  ,Education,Project Management,Problem-Solving,Hybrid,5,4,No,Indoor,No,Nurse,BSc Nursing,FAST-NUCES,
Hannah,22,Female,Diploma,Moderately Active,"Detail-Oriented, Adventurous, Patient",Music,Mathematics,Organizational Strategy  ,Social Media Management  ,Education,Graphic Design,Teamwork,Hybrid,3,3,No,Indoor,No,Psychologist,BSc Psychology,UET Lahore,
Fiona,16,Female,Matric,Moderately Active,"Curious, Creative, Practical",Music,Data Analysis,Finance  ,Broadcasting  ,Non-profit Work,Writing,Adaptability,Hybrid,1,3,No,No preference,No,Software Engineer,BSc Computer Science,University of the Punjab,
Ivan,17,Male,Diploma,Sedentary,"Curious, Organized, Assertive",Photography,Programming,Marketing and Branding  ,Digital Content Creation  ,Education,Project Management,Leadership,Hybrid,1,1,No,Indoor,Yes,Teacher,BEd,University of the Punjab,
Ivan,21,Female,Undergraduate,Moderately Active,"Curious, Analytical, Detail-Oriented",Music,Physics,Business  ,Journalism  ,Education,Writing,Communication,Hybrid,5,2,No,Indoor,Yes,Journalist,BA Journalism,QAU Islamabad,
Alice,17,Female,Diploma,Moderately Active,"Patient, Curious, Detail-Oriented",Design,Physics,Team Leadership  ,Public Relations  ,Healthcare,Programming,Teamwork,On-site,3,1,No,Indoor,Yes,Teacher,BEd,IBA Karachi,
Charlie,21,Male,Undergraduate,Active,"Adventurous, Empathetic, Detail-Oriented",Writing,Physics,Organizational Strategy  ,Social Media Management  ,Social Work,Programming,Problem-Solving,Hybrid,2,2,No,No preference,No,Social Worker,BA Social Work,NUST,
Fiona,20,Male,Matric,Moderately Active,"Practical, Empathetic, Creative",Design,Data Analysis,Finance  ,Broadcasting  ,Education,Programming,Problem-Solving,On-site,5,4,Yes,Outdoor,No,Teacher,BEd,University of the Punjab,
Diana,16,Male,Diploma,Active,"Assertive, Empathetic, Analytical",Writing,Physics,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Programming,Adaptability,Hybrid,3,4,Yes,Outdoor,No,Teacher,BEd,IBA Karachi,
Alice,20,Female,Matric,Active,"Analytical, Patient, Empathetic",Writing,Mathematics,Business  ,Journalism  ,Education,Graphic Design,Communication,Hybrid,4,4,Yes,Outdoor,Yes,Teacher,BEd,QAU Islamabad,
Diana,21,Other,Undergraduate,Moderately Active,"Empathetic, Curious, Organized",Photography,Physics,Team Leadership  ,Public Relations  ,Non-profit Work,Graphic Design,Leadership,Hybrid,5,4,No,Indoor,No,Psychologist,BSc Psychology,Aga Khan University,
Bob,20,Female,Undergraduate,Moderately Active,"Patient, Practical, Detail-Oriented",Design,Data Analysis,Organizational Strategy  ,Social Media Management  ,Social Work,Data Analysis,Teamwork,Hybrid,4,1,No,Indoor,Yes,Social Worker,BA Social Work,LUMS,
Charlie,22,Other,FSc,Sedentary,"Assertive, Practical, Curious",Music,Engineering,Finance  ,Broadcasting  ,Social Work,Data Analysis,Communication,On-site,2,3,No,Indoor,No,Psychologist,BSc Psychology,FAST-NUCES,
Charlie,19,Female,Diploma,Moderately Active,"Patient, Assertive, Creative",Photography,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Writing,Problem-Solving,Hybrid,2,3,Yes,Indoor,No,Photographer,Diploma Photography,NUST,
Ivan,20,Male,FSc,Moderately Active,"Adventurous, Analytical, Practical",Music,Data Analysis,Business  ,Journalism  ,Social Work,Writing,Problem-Solving,Remote,3,5,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,GIKI,
Julia,21,Other,Matric,Sedentary,"Empathetic, Curious, Creative",Photography,Engineering,Team Leadership  ,Public Relations  ,Healthcare,Data Analysis,Problem-Solving,Remote,2,4,Yes,Outdoor,No,Journalist,BA Journalism,COMSATS,
Hannah,18,Male,Matric,Active,"Practical, Organized, Detail-Oriented",Photography,Engineering,Organizational Strategy  ,Social Media Management  ,Counseling,Graphic Design,Leadership,Hybrid,1,4,Yes,No preference,No,Social Worker,BA Social Work,University of the Punjab,
Hannah,20,Other,Diploma,Sedentary,"Adventurous, Creative, Empathetic",Music,Physics,Finance  ,Broadcasting  ,Education,Programming,Leadership,Hybrid,1,2,No,No preference,No,Psychologist,BSc Psychology,Aga Khan University,
Hannah,20,Other,Undergraduate,Active,"Assertive, Creative, Analytical",Design,Physics,Marketing and Branding  ,Digital Content Creation  ,Education,Project Management,Leadership,Hybrid,4,4,No,Indoor,No,Psychologist,BSc Psychology,QAU Islamabad,
Bob,22,Female,Diploma,Sedentary,"Patient, Assertive, Empathetic",Music,Engineering,Business  ,Journalism  ,Non-profit Work,Project Management,Adaptability,Remote,3,4,Yes,Indoor,Yes,Journalist,BA Journalism,LUMS,
Diana,17,Female,Diploma,Moderately Active,"Patient, Practical, Curious",Writing,Programming,Team Leadership  ,Public Relations  ,Counseling,Data Analysis,Leadership,Remote,5,1,Yes,Indoor,No,Nurse,BSc Nursing,FAST-NUCES,
George,19,Male,Matric,Active,"Detail-Oriented, Organized, Curious",Photography,Physics,Organizational Strategy  ,Social Media Management  ,Counseling,Writing,Adaptability,Remote,3,4,Yes,No preference,Yes,Psychologist,BSc Psychology,FAST-NUCES,
Alice,21,Other,Matric,Active,"Curious, Patient, Detail-Oriented",Design,Engineering,Finance  ,Broadcasting  ,Education,Data Analysis,Teamwork,Hybrid,2,5,Yes,No preference,Yes,Photographer,Diploma Photography,GIKI,
Diana,20,Male,Diploma,Active,"Organized, Creative, Curious",Design,Mathematics,Marketing and Branding  ,Digital Content Creation  ,Social Work,Writing,Leadership,Remote,2,2,Yes,Indoor,Yes,Psychologist,BSc Psychology,IBA Karachi,
